Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
211	Spectrogram 1	1	2019/2/3  9:08:54.6147	11034.614666770	11038.192291615	30.645	85.484	D
212	Spectrogram 1	1	2019/2/3  9:09:00.5028	11040.502840994	11042.217119565	32.796	77.957	D
213	Spectrogram 1	1	2019/2/3  9:09:12.9500	11052.949994099	11057.347491304	33.333	77.419	D
214	Spectrogram 1	1	2019/2/3  9:09:19.5835	11059.583506832	11062.341259317	44.086	82.258	D
215	Spectrogram 1	1	2019/2/3  9:09:31.9561	11071.956126087	11074.564810870	59.677	90.323	D
216	Spectrogram 1	1	2019/2/3  9:09:52.6272	11092.627230745	11096.055787888	36.559	82.796	D
217	Spectrogram 1	1	2019/2/3  9:10:00.3042	11100.304217391	11103.136503727	27.419	87.097	D
218	Spectrogram 1	1	2019/2/3  9:14:21.2481	11361.248129503	11363.633212733	45.699	81.183	D
219	Spectrogram 1	1	2019/2/3  9:16:02.2419	11462.241947516	11470.589738820	17.204	29.032	Antarctic
220	Spectrogram 1	1	2019/2/3  9:16:15.8071	11475.807108385	11478.043123913	50.538	74.194	D
221	Spectrogram 1	1	2019/2/3  9:16:39.2107	11499.210737578	11503.533700932	52.151	87.634	D
222	Spectrogram 1	1	2019/2/3  9:20:13.4965	11713.496459006	11715.956076087	34.946	52.151	D
223	Spectrogram 1	1	2019/2/3  9:20:20.3536	11720.353573292	11722.291453416	34.946	50.000	D
224	Spectrogram 1	1	2019/2/3  9:20:26.3163	11726.316281366	11728.403229193	35.484	51.613	D
225	Spectrogram 1	1	2019/2/3  9:20:11.6331	11711.633112733	11723.409461180	19.355	27.419	Antarctic
226	Spectrogram 1	1	2019/2/3  9:20:38.2421	11738.242147516	11740.552696894	41.398	79.570	D
227	Spectrogram 1	1	2019/2/3  9:21:02.6147	11762.614716770	11764.552596894	57.527	94.624	D
228	Spectrogram 1	1	2019/2/3  9:21:14.3911	11774.391065217	11776.999750000	39.247	70.968	D
229	Spectrogram 1	1	2019/2/3  9:21:21.2482	11781.248179503	11783.409661180	37.634	76.344	D
230	Spectrogram 1	1	2019/2/3  9:22:18.1180	11838.117957764	11844.751470497	19.892	27.419	Antarctic
231	Spectrogram 1	1	2019/2/3  9:27:38.3167	12158.316731366	12164.503040994	20.430	26.882	Antarctic
232	Spectrogram 1	1	2019/2/3  9:30:15.8072	12315.807208385	12326.763684472	18.280	30.645	Antarctic
233	Spectrogram 1	1	2019/2/3  9:30:14.9873	12314.987336025	12317.670554658	65.054	89.247	D
234	Spectrogram 1	1	2019/2/3  9:31:15.0621	12375.062069876	12384.229733540	18.817	31.720	Antarctic
235	Spectrogram 1	1	2019/2/3  9:31:48.9750	12408.974972050	12412.478063043	23.656	73.118	D
236	Spectrogram 1	1	2019/2/3  9:32:27.5835	12447.583506832	12458.316381366	20.430	30.645	Antarctic
237	Spectrogram 1	1	2019/2/3  9:33:22.4409	12502.440871118	12504.900488199	35.484	71.505	D
